Timestamp,Bren Hall HVAC Elec Meter hvac elec power
2022-01-13T05:00:00-08:00 Los_Angeles,0kW
2022-01-13T06:00:00-08:00 Los_Angeles,0.9938333034515381kW
2022-01-13T07:00:00-08:00 Los_Angeles,35.498833537101746kW
2022-01-13T08:00:00-08:00 Los_Angeles,36.80533313751221kW
2022-01-13T09:00:00-08:00 Los_Angeles,35.02983283996582kW
2022-01-13T10:00:00-08:00 Los_Angeles,33.18733263015747kW
2022-01-13T11:00:00-08:00 Los_Angeles,34.181166648864746kW
2022-01-13T12:00:00-08:00 Los_Angeles,34.50500011444092kW
2022-01-13T13:00:00-08:00 Los_Angeles,35.58816623687744kW
2022-01-13T14:00:00-08:00 Los_Angeles,37.73216724395752kW
2022-01-13T15:00:00-08:00 Los_Angeles,39.518832206726074kW
2022-01-13T16:00:00-08:00 Los_Angeles,40.847665786743164kW
2022-01-13T17:00:00-08:00 Los_Angeles,41.48416709899902kW
2022-01-13T18:00:00-08:00 Los_Angeles,41.37249946594238kW
2022-01-13T19:00:00-08:00 Los_Angeles,41.13799858093262kW
2022-01-13T20:00:00-08:00 Los_Angeles,40.70249843597412kW
2022-01-13T21:00:00-08:00 Los_Angeles,40.07716655731201kW
2022-01-13T22:00:00-08:00 Los_Angeles,25.38183355331421kW
2022-01-13T23:00:00-08:00 Los_Angeles,0kW
2022-01-14T00:00:00-08:00 Los_Angeles,0kW
2022-01-14T01:00:00-08:00 Los_Angeles,0kW
2022-01-14T02:00:00-08:00 Los_Angeles,0kW
2022-01-14T03:00:00-08:00 Los_Angeles,0kW
2022-01-14T04:00:00-08:00 Los_Angeles,0kW
2022-01-14T05:00:00-08:00 Los_Angeles,2.5683332979679108kW
2022-01-14T06:00:00-08:00 Los_Angeles,0kW
2022-01-14T07:00:00-08:00 Los_Angeles,31.735666751861572kW
2022-01-14T08:00:00-08:00 Los_Angeles,43.482998847961426kW
2022-01-14T09:00:00-08:00 Los_Angeles,44.45450019836426kW
2022-01-14T10:00:00-08:00 Los_Angeles,44.65549850463867kW
2022-01-14T11:00:00-08:00 Los_Angeles,48.440999031066895kW
2022-01-14T12:00:00-08:00 Los_Angeles,52.80716514587402kW
2022-01-14T13:00:00-08:00 Los_Angeles,56.68199920654297kW
2022-01-14T14:00:00-08:00 Los_Angeles,60.523332595825195kW
2022-01-14T15:00:00-08:00 Los_Angeles,65.22449970245361kW
2022-01-14T16:00:00-08:00 Los_Angeles,69.8586654663086kW
2022-01-14T17:00:00-08:00 Los_Angeles,74.77199935913086kW
2022-01-14T18:00:00-08:00 Los_Angeles,76.00033378601074kW
2022-01-14T19:00:00-08:00 Los_Angeles,73.67766571044922kW
2022-01-14T20:00:00-08:00 Los_Angeles,73.38733100891113kW
2022-01-14T21:00:00-08:00 Los_Angeles,73.27566528320312kW
2022-01-14T22:00:00-08:00 Los_Angeles,38.72600078582764kW
2022-01-14T23:00:00-08:00 Los_Angeles,0kW
2022-01-15T00:00:00-08:00 Los_Angeles,0kW
2022-01-15T01:00:00-08:00 Los_Angeles,0kW
2022-01-15T02:00:00-08:00 Los_Angeles,0kW
2022-01-15T03:00:00-08:00 Los_Angeles,0kW
2022-01-15T04:00:00-08:00 Los_Angeles,3.3499999046325684kW
2022-01-15T05:00:00-08:00 Los_Angeles,0kW
2022-01-15T06:00:00-08:00 Los_Angeles,0kW
2022-01-15T07:00:00-08:00 Los_Angeles,0kW
2022-01-15T08:00:00-08:00 Los_Angeles,0kW
2022-01-15T09:00:00-08:00 Los_Angeles,5.639166593551636kW
2022-01-15T10:00:00-08:00 Los_Angeles,2.3896666169166565kW
2022-01-15T11:00:00-08:00 Los_Angeles,0kW
2022-01-15T12:00:00-08:00 Los_Angeles,3.249500036239624kW
2022-01-15T13:00:00-08:00 Los_Angeles,4.109333276748657kW
2022-01-15T14:00:00-08:00 Los_Angeles,6.476666763424873kW
2022-01-15T15:00:00-08:00 Los_Angeles,3.383500099182129kW
2022-01-15T16:00:00-08:00 Los_Angeles,0kW
2022-01-15T17:00:00-08:00 Los_Angeles,0kW
2022-01-15T18:00:00-08:00 Los_Angeles,2.501333311200142kW
2022-01-15T19:00:00-08:00 Los_Angeles,0kW
2022-01-15T20:00:00-08:00 Los_Angeles,0kW
2022-01-15T21:00:00-08:00 Los_Angeles,0kW
2022-01-15T22:00:00-08:00 Los_Angeles,0kW
2022-01-15T23:00:00-08:00 Los_Angeles,0kW
2022-01-16T00:00:00-08:00 Los_Angeles,0kW
2022-01-16T01:00:00-08:00 Los_Angeles,0kW
2022-01-16T02:00:00-08:00 Los_Angeles,0kW
2022-01-16T03:00:00-08:00 Los_Angeles,0kW
2022-01-16T04:00:00-08:00 Los_Angeles,0kW
2022-01-16T05:00:00-08:00 Los_Angeles,0kW
2022-01-16T06:00:00-08:00 Los_Angeles,0kW
2022-01-16T07:00:00-08:00 Los_Angeles,0kW
2022-01-16T08:00:00-08:00 Los_Angeles,0kW
2022-01-16T09:00:00-08:00 Los_Angeles,0kW
2022-01-16T10:00:00-08:00 Los_Angeles,0kW
2022-01-16T11:00:00-08:00 Los_Angeles,0kW
2022-01-16T12:00:00-08:00 Los_Angeles,0kW
2022-01-16T13:00:00-08:00 Los_Angeles,0kW
2022-01-16T14:00:00-08:00 Los_Angeles,0kW
2022-01-16T15:00:00-08:00 Los_Angeles,0kW
2022-01-16T16:00:00-08:00 Los_Angeles,0kW
2022-01-16T17:00:00-08:00 Los_Angeles,0kW
2022-01-16T18:00:00-08:00 Los_Angeles,0kW
2022-01-16T19:00:00-08:00 Los_Angeles,0kW
2022-01-16T20:00:00-08:00 Los_Angeles,0kW
2022-01-16T21:00:00-08:00 Los_Angeles,0kW
2022-01-16T22:00:00-08:00 Los_Angeles,0kW
2022-01-16T23:00:00-08:00 Los_Angeles,0kW
2022-01-17T00:00:00-08:00 Los_Angeles,0kW
2022-01-17T01:00:00-08:00 Los_Angeles,0kW
2022-01-17T02:00:00-08:00 Los_Angeles,0kW
2022-01-17T03:00:00-08:00 Los_Angeles,0kW
2022-01-17T04:00:00-08:00 Los_Angeles,0kW
2022-01-17T05:00:00-08:00 Los_Angeles,0kW
2022-01-17T06:00:00-08:00 Los_Angeles,0kW
2022-01-17T07:00:00-08:00 Los_Angeles,42.93583257496357kW
2022-01-17T08:00:00-08:00 Los_Angeles,68.4516658782959kW
2022-01-17T09:00:00-08:00 Los_Angeles,71.37733268737793kW
2022-01-17T10:00:00-08:00 Los_Angeles,72.89599609375kW
2022-01-17T11:00:00-08:00 Los_Angeles,78.15549850463867kW
2022-01-17T12:00:00-08:00 Los_Angeles,81.56133270263672kW
2022-01-17T13:00:00-08:00 Los_Angeles,85.03416442871094kW
2022-01-17T14:00:00-08:00 Los_Angeles,88.42883491516113kW
2022-01-17T15:00:00-08:00 Los_Angeles,87.03299903869629kW
2022-01-17T16:00:00-08:00 Los_Angeles,86.6756649017334kW
2022-01-17T17:00:00-08:00 Los_Angeles,87.61366271972656kW
2022-01-17T18:00:00-08:00 Los_Angeles,87.59132957458496kW
2022-01-17T19:00:00-08:00 Los_Angeles,87.28983116149902kW
2022-01-17T20:00:00-08:00 Los_Angeles,88.11616516113281kW
2022-01-17T21:00:00-08:00 Los_Angeles,87.41266632080078kW
2022-01-17T22:00:00-08:00 Los_Angeles,57.93266487121582kW
2022-01-17T23:00:00-08:00 Los_Angeles,0kW
2022-01-18T00:00:00-08:00 Los_Angeles,0kW
2022-01-18T01:00:00-08:00 Los_Angeles,0kW
2022-01-18T02:00:00-08:00 Los_Angeles,5.672666668891907kW
2022-01-18T03:00:00-08:00 Los_Angeles,0kW
2022-01-18T04:00:00-08:00 Los_Angeles,3.0596665740013123kW
2022-01-18T05:00:00-08:00 Los_Angeles,1.2618333101272583kW
2022-01-18T06:00:00-08:00 Los_Angeles,1.0719999074935913kW
2022-01-18T07:00:00-08:00 Los_Angeles,50.43983133137226kW
2022-01-18T08:00:00-08:00 Los_Angeles,87.32333183288574kW
2022-01-18T09:00:00-08:00 Los_Angeles,86.51933288574219kW
2022-01-18T10:00:00-08:00 Los_Angeles,85.61483192443848kW
2022-01-18T11:00:00-08:00 Los_Angeles,86.83200073242188kW
2022-01-18T12:00:00-08:00 Los_Angeles,88.22783088684082kW
2022-01-18T13:00:00-08:00 Los_Angeles,88.18316650390625kW
2022-01-18T14:00:00-08:00 Los_Angeles,87.06649589538574kW
2022-01-18T15:00:00-08:00 Los_Angeles,88.62983131408691kW
2022-01-18T16:00:00-08:00 Los_Angeles,86.65332984924316kW
2022-01-18T17:00:00-08:00 Los_Angeles,88.54050064086914kW
2022-01-18T18:00:00-08:00 Los_Angeles,85.99449920654297kW
2022-01-18T19:00:00-08:00 Los_Angeles,89.9698314666748kW
2022-01-18T20:00:00-08:00 Los_Angeles,85.59249877929688kW
2022-01-18T21:00:00-08:00 Los_Angeles,87.5913314819336kW
2022-01-18T22:00:00-08:00 Los_Angeles,61.18216514587402kW
2022-01-18T23:00:00-08:00 Los_Angeles,0kW
2022-01-19T00:00:00-08:00 Los_Angeles,0kW
